PPN;Age;Gender;MWI-Q1;MWI-Q2;MWI-Q3;MWI-Q4;MWI-Q5;MWI-Q6;MWI-Q7;MWI-Q8;MWI-Q9;MWI-Q10
Participant number;Age;Gender;1. My mind often disconnects from what surrounds me;2. While performing a task, my mind is often thinking of other things;3. I am often absorbed with my own thoughts;4. My thoughts travel frequently through time (past or future);5. I often imagine that I’m somewhere else;6. I often imagine what others are thinking or feeling;7. My thoughts seem to have a life of their own;8. My thoughts jump easily from one subject to another;9. The content of my thoughts is very diverse;10. I spend much of the time daydreaming
12;24;Female;3;4;3;3;2;2;3;3;4;2
13;18;Female;4;3;3;4;4;4;4;3;4;3
14;26;Female;3;3;3;4;3;4;3;2;3;2
15;22;Female;3;3;4;4;2;2;3;3;3;3
16;22;Female;3;4;3;3;2;4;2;3;2;2
17;21;Male;4;2;4;4;4;4;4;3;4;4
18;18;Female;3;3;4;3;2;3;2;3;3;2
19;20;Female;4;3;4;4;3;3;3;4;3;3
20;23;Female;3;3;3;4;3;4;3;2;3;3
21;24;Female;4;4;4;4;2;4;3;4;4;3
22;19;Male;2;2;2;3;2;2;3;2;4;3
23;30;Female;3;3;3;4;3;3;2;3;4;2
24;25;Male;4;4;4;4;4;2;3;3;4;4
26;23;Female;3;4;4;3;3;4;3;4;4;3
27;20;Male;3;3;3;2;2;2;4;4;3;2
28;26;Female;4;4;4;4;3;3;4;4;2;4
29;27;Female;4;4;4;4;4;4;2;3;4;4
30;24;Female;4;3;2;2;1;3;3;3;4;1
31;19;Male;2;2;3;1;1;3;1;1;2;3
32;19;Male;3;4;4;4;3;3;2;1;2;3
33;22;Male;3;4;4;4;4;4;3;3;2;3
34;20;Female;4;4;4;4;3;3;4;3;3;4
35;24;Male;4;4;4;3;2;2;4;3;3;4
36;20;Female;3;4;4;4;2;4;4;4;3;3
37;21;Female;3;4;3;4;3;4;3;3;4;3
38;24;Female;2;2;3;3;3;4;2;3;3;2
39;19;Male;3;3;3;3;2;3;1;2;3;2
40;21;Female;3;3;3;3;1;3;2;3;3;2
41;24;Female;2;2;3;2;1;3;1;2;3;1
42;21;Female;4;4;3;4;4;4;3;4;4;3
43;19;Male;3;3;3;2;3;1;2;4;3;2
44;25;Female;3;3;3;3;3;4;3;3;4;3
45;26;Male;3;3;4;3;3;3;2;3;4;2
46;27;Female;3;3;3;3;3;3;2;3;3;2
47;25;Female;4;3;4;4;3;4;3;4;3;4
48;26;Male;4;3;3;3;2;4;3;4;4;3
49;33;Male;4;4;4;4;3;4;1;4;4;4
50;24;Female;3;3;3;3;2;4;3;3;3;3
51;21;Male;4;4;4;4;3;4;3;4;3;3
52;19;Female;3;3;2;4;3;2;2;3;4;2
53;20;Male;4;4;4;3;3;3;2;3;3;3
54;18;Female;2;3;3;4;3;4;3;2;4;3
55;20;Female;3;3;4;3;3;4;2;4;4;3
